,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
1193,Over 18,10726,442,1349,11,32,23,376,177,1131,29,12,1121,36,203,43,102,192,11,14,26,642,0,179,2179,65,1,615,0,3506,0,0,0,0,VERMONT,2014,58
1194,Under 18,614,36,104,0,12,3,21,14,80,6,4,118,1,3,3,6,64,8,0,7,29,0,2,8,40,0,92,0,93,0,0,72,583567,VERMONT,2015,19
1195,Total all ages,11183,472,1402,7,40,35,390,189,1176,29,8,1202,37,184,60,96,275,17,4,25,610,0,145,2144,103,1,703,0,3703,0,0,0,0,VERMONT,2015,65
1196,Over 18,10569,436,1298,7,28,32,369,175,1096,23,4,1084,36,181,57,90,211,9,4,18,581,0,143,2136,63,1,611,0,3610,0,0,0,0,VERMONT,2015,46
1197,Under 18,425,13,60,0,4,0,9,13,40,6,1,96,0,2,2,4,37,7,0,10,23,0,8,8,23,1,67,0,64,0,0,46,348314,VERMONT,2016,14
1198,Total all ages,8062,314,1049,4,28,23,259,154,871,18,6,812,20,122,55,59,197,14,4,29,593,0,118,1474,60,1,509,0,2632,0,0,0,0,VERMONT,2016,57
1199,Over 18,7637,301,989,4,24,23,250,141,831,12,5,716,20,120,53,55,160,7,4,19,570,0,110,1466,37,0,442,0,2568,0,0,0,0,VERMONT,2016,43
1200,Under 18,800,51,137,0,14,1,36,33,94,6,4,145,2,4,1,6,92,10,0,7,49,0,4,18,49,0,100,0,125,0,0,72,600391,VERMONT,2017,21
1201,Total all ages,13969,664,1683,10,62,31,561,268,1370,29,16,1341,56,238,43,103,380,28,4,41,1137,0,174,2450,112,0,823,0,4692,0,0,0,0,VERMONT,2017,103
1202,Over 18,13169,613,1546,10,48,30,525,235,1276,23,12,1196,54,234,42,97,288,18,4,34,1088,0,170,2432,63,0,723,0,4567,0,0,0,0,VERMONT,2017,82
1203,Under 18,702,40,100,0,16,4,20,13,74,9,4,163,0,8,2,3,75,12,0,9,38,0,5,15,45,0,79,0,108,0,0,72,615720,VERMONT,2018,25
1204,Total all ages,14334,684,1637,11,86,38,549,220,1343,54,20,1519,52,306,56,98,321,36,1,38,902,0,201,2576,82,0,853,0,4972,0,0,0,0,VERMONT,2018,124
1205,Over 18,13632,644,1537,11,70,34,529,207,1269,45,16,1356,52,298,54,95,246,24,1,29,864,0,196,2561,37,0,774,0,4864,0,0,0,0,VERMONT,2018,99
1206,Under 18,803,47,135,0,15,6,26,42,77,14,2,238,0,2,8,4,79,17,0,8,27,0,3,15,16,0,101,0,103,0,0,80,622083,VERMONT,2019,23
1207,Total all ages,15719,863,1984,10,94,52,707,256,1640,74,14,1766,43,317,58,94,424,38,3,37,927,0,219,2680,57,0,941,0,5268,0,0,0,0,VERMONT,2019,131
1208,Over 18,14916,816,1849,10,79,46,681,214,1563,60,12,1528,43,315,50,90,345,21,3,29,900,0,216,2665,41,0,840,0,5165,0,0,0,0,VERMONT,2019,108
1209,Under 18,498,37,73,0,11,3,23,24,44,5,0,125,0,1,1,2,56,1,0,10,22,0,0,11,25,0,46,0,88,0,0,82,619602,VERMONT,2020,21
1210,Total all ages,11617,749,1287,10,66,34,639,202,995,61,29,1483,39,179,36,78,348,21,1,34,749,0,209,1957,52,0,649,0,3746,0,0,0,0,VERMONT,2020,100
1211,Over 18,11119,712,1214,10,55,31,616,178,951,56,29,1358,39,178,35,76,292,20,1,24,727,0,209,1946,27,0,603,0,3658,0,0,0,0,VERMONT,2020,79
1212,Under 18,523,40,45,0,9,0,31,5,24,11,5,136,3,8,0,2,153,2,0,3,15,0,4,8,20,0,33,0,51,0,0,78,641185,VERMONT,2021,12
1213,Total all ages,9523,808,1205,9,72,34,693,189,915,76,25,1449,34,138,36,80,482,30,5,24,757,0,160,1346,32,0,445,0,2492,0,0,0,0,VERMONT,2021,96
1214,Over 18,9000,768,1160,9,63,34,662,184,891,65,20,1313,31,130,36,78,329,28,5,21,742,0,156,1338,12,0,412,0,2441,0,0,0,0,VERMONT,2021,84
1215,Under 18,21995,604,4490,10,32,279,283,651,3642,123,74,3622,35,133,16,129,840,301,3,203,2537,2,45,104,1316,159,769,0,5230,0,1457,355,8250187,VIRGINIA,2013,235
1216,Total all ages,321040,6858,37223,331,326,1754,4447,4074,32079,867,203,35706,1990,6151,1520,978,4255,3501,862,1031,39536,58,2628,25813,10353,28325,4536,186,108073,0,1457,0,0,VIRGINIA,2013,1357
1217,Over 18,299045,6254,32733,321,294,1475,4164,3423,28437,744,129,32084,1955,6018,1504,849,3415,3200,859,828,36999,56,2583,25709,9037,28166,3767,186,102843,0,0,0,0,VIRGINIA,2013,1122
1218,Under 18,20131,699,4167,11,60,290,338,532,3390,164,81,3425,25,128,32,104,758,284,3,147,2281,0,30,86,1018,116,797,0,4909,0,1122,356,8219731,VIRGINIA,2014,207
1219,Total all ages,300102,6923,35123,278,471,1591,4583,3490,30626,803,204,34044,1857,5718,1609,853,3929,3197,970,833,36988,50,2282,23611,7628,26047,4136,223,102959,0,1122,0,0,VIRGINIA,2014,1304
1220,Over 18,279971,6224,30956,267,411,1301,4245,2958,27236,639,123,30619,1832,5590,1577,749,3171,2913,967,686,34707,50,2252,23525,6610,25931,3339,223,98050,0,0,0,0,VIRGINIA,2014,1097
1221,Under 18,17151,603,3574,10,53,267,273,475,2922,134,43,2923,29,100,32,114,701,281,3,115,1972,1,27,100,761,142,618,0,4122,0,933,397,7925463,VIRGINIA,2015,168
1222,Total all ages,268167,6247,31971,289,448,1392,4118,2833,28164,810,164,31504,1642,5079,1371,784,3746,3160,685,674,33558,23,1969,20477,5340,21338,3106,215,94345,0,933,0,0,VIRGINIA,2015,1122
1223,Over 18,251016,5644,28397,279,395,1125,3845,2358,25242,676,121,28581,1613,4979,1339,670,3045,2879,682,559,31586,22,1942,20377,4579,21196,2488,215,90223,0,0,0,0,VIRGINIA,2015,954
1224,Under 18,16838,735,3907,20,69,385,261,504,3162,211,30,2735,36,129,37,177,753,328,3,122,2068,0,55,97,620,112,490,0,3667,0,767,404,8266632,VIRGINIA,2016,191
1225,Total all ages,271921,7410,30793,351,480,1755,4824,2928,26706,1013,146,32469,1905,5240,1405,917,4021,3562,913,692,39132,20,1780,20084,5223,20125,2965,157,92341,0,767,0,0,VIRGINIA,2016,1172
1226,Over 18,255083,6675,26886,331,411,1370,4563,2424,23544,802,116,29734,1869,5111,1368,740,3268,3234,910,570,37064,20,1725,19987,4603,20013,2475,157,88674,0,0,0,0,VIRGINIA,2016,981
1227,Under 18,16417,709,3553,24,59,321,305,463,2862,175,53,2648,32,133,32,153,691,318,5,137,2217,1,23,70,574,75,501,0,3804,0,741,373,7782044,VIRGINIA,2017,196
1228,Total all ages,258878,7068,26582,337,430,1633,4668,2698,22662,1032,190,30360,1700,4845,1371,994,3621,4099,617,653,42060,25,1664,19323,4852,17864,2870,177,87392,0,741,0,0,VIRGINIA,2017,1083
1229,Over 18,242461,6359,23029,313,371,1312,4363,2235,19800,857,137,27712,1668,4712,1339,841,2930,3781,612,516,39843,24,1641,19253,4278,17789,2369,177,83588,0,0,0,0,VIRGINIA,2017,887
1230,Under 18,15864,719,2994,18,90,330,281,314,2420,217,43,2694,19,126,25,176,515,294,4,109,2132,0,36,49,503,68,588,0,4293,0,520,389,8240312,VIRGINIA,2018,199
1231,Total all ages,268094,7090,26694,356,558,1431,4745,2309,23014,1180,191,30541,1572,4868,1272,1085,3490,4062,373,597,45409,12,1536,20885,4131,19398,2844,46,91669,0,520,0,0,VIRGINIA,2018,1155
1232,Over 18,252230,6371,23700,338,468,1101,4464,1995,20594,963,148,27847,1553,4742,1247,909,2975,3768,369,488,43277,12,1500,20836,3628,19330,2256,46,87376,0,0,0,0,VIRGINIA,2018,956
1233,Under 18,15992,751,2783,21,102,311,317,260,2317,172,34,2810,23,115,23,142,436,278,3,101,1852,2,45,68,498,108,497,0,4944,0,513,390,8192933,VIRGINIA,2019,203
1234,Total all ages,261659,6933,26107,299,541,1315,4778,2033,22921,996,157,29706,1429,4672,1119,930,3102,4060,513,580,42502,21,1393,20402,3983,19289,2802,39,91564,0,513,0,0,VIRGINIA,2019,1121
1235,Over 18,245667,6182,23324,278,439,1004,4461,1773,20604,824,123,26896,1406,4557,1096,788,2666,3782,510,479,40650,19,1348,20334,3485,19181,2305,39,86620,0,0,0,0,VIRGINIA,2019,918
1236,Under 18,9118,488,1575,25,65,175,223,210,1166,171,28,1642,14,75,23,101,373,199,0,58,960,2,41,81,170,36,206,0,2687,0,387,316,8511554,VIRGINIA,2020,123
1237,Total all ages,201479,6651,20407,336,463,1020,4832,1734,17481,1043,149,26895,1002,3629,776,781,3195,4584,277,493,27090,10,1018,16483,1512,12912,1931,67,71379,0,387,0,0,VIRGINIA,2020,956
1238,Over 18,192361,6163,18832,311,398,845,4609,1524,16315,872,121,25253,988,3554,753,680,2822,4385,277,435,26130,8,977,16402,1342,12876,1725,67,68692,0,0,0,0,VIRGINIA,2020,833
1239,Under 18,6259,458,930,13,65,137,243,163,613,126,28,1305,6,54,20,112,307,248,0,54,308,0,40,56,139,0,54,0,1925,0,243,340,8599971,VIRGINIA,2021,119
1240,Total all ages,186270,6693,17681,379,483,957,4874,1583,14925,1010,163,27361,810,3699,627,734,3166,4474,253,557,14568,12,1118,16624,1152,0,2358,8,84132,0,243,0,0,VIRGINIA,2021,1040
1241,Over 18,180011,6235,16751,366,418,820,4631,1420,14312,884,135,26056,804,3645,607,622,2859,4226,253,503,14260,12,1078,16568,1013,0,2304,8,82207,0,0,0,0,VIRGINIA,2021,921
1242,Under 18,16939,903,5049,8,80,304,511,798,4006,197,48,3349,12,20,2,220,1087,264,6,149,1881,0,19,190,1324,3,303,11,2140,0,7,228,5937459,WASHINGTON,2013,229
1243,Total all ages,189806,7699,36129,121,436,1868,5274,5231,29491,1232,175,25754,1005,931,78,3139,5645,1855,399,602,11346,0,448,29153,4586,30,3533,134,57333,0,7,0,0,WASHINGTON,2013,1038
1244,Over 18,172867,6796,31080,113,356,1564,4763,4433,25485,1035,127,22405,993,911,76,2919,4558,1591,393,453,9465,0,429,28963,3262,27,3230,123,55193,0,0,0,0,WASHINGTON,2013,809
1245,Under 18,15744,885,4621,10,67,335,473,752,3592,219,58,3301,19,30,1,207,864,263,10,135,1697,0,24,142,1099,0,228,1,2205,0,12,229,6490207,WASHINGTON,2014,202
1246,Total all ages,183687,7707,35757,137,479,1851,5240,4982,29320,1248,207,26336,996,991,68,3423,5132,1739,528,661,11111,0,455,26952,3896,12,3260,141,54510,0,12,0,0,WASHINGTON,2014,1140
1247,Over 18,167943,6822,31136,127,412,1516,4767,4230,25728,1029,149,23035,977,961,67,3216,4268,1476,518,526,9414,0,431,26810,2797,12,3032,140,52305,0,0,0,0,WASHINGTON,2014,938
1248,Under 18,14882,893,4198,11,70,319,493,697,3171,276,54,3188,14,17,1,223,952,282,3,119,1369,0,17,151,988,5,241,5,2209,2,5,229,6543817,WASHINGTON,2015,189
1249,Total all ages,186866,7822,33708,155,488,1831,5348,4900,27244,1376,188,26193,833,930,56,3144,5223,1771,435,606,11026,4,359,24627,3236,41,3009,104,63717,17,5,0,0,WASHINGTON,2015,1094
1250,Over 18,171984,6929,29510,144,418,1512,4855,4203,24073,1100,134,23005,819,913,55,2921,4271,1489,432,487,9657,4,342,24476,2248,36,2768,99,61508,15,0,0,0,WASHINGTON,2015,905
1251,Under 18,12184,782,3151,15,79,295,393,442,2432,247,30,2642,10,28,1,210,756,237,9,133,1360,0,9,121,776,3,178,0,1775,0,3,223,6483494,WASHINGTON,2016,212
1252,Total all ages,171211,7778,30229,107,491,1665,5515,4847,23705,1518,159,24266,881,994,60,3354,4973,1711,553,637,11017,0,280,23209,2487,22,2415,81,56261,0,3,0,0,WASHINGTON,2016,1128
1253,Over 18,159027,6996,27078,92,412,1370,5122,4405,21273,1271,129,21624,871,966,59,3144,4217,1474,544,504,9657,0,271,23088,1711,19,2237,81,54486,0,0,0,0,WASHINGTON,2016,916
1254,Under 18,11818,890,2692,17,77,334,462,480,1986,180,46,2939,12,28,1,193,856,225,7,123,1224,0,9,167,683,10,190,0,1569,0,0,222,6678694,WASHINGTON,2017,200
1255,Total all ages,173344,8472,27055,158,515,1887,5912,4723,20526,1637,169,25114,862,1056,53,3438,5178,1793,650,587,12027,0,359,25392,2018,78,2402,124,56680,6,0,0,0,WASHINGTON,2017,1102
1256,Over 18,161526,7582,24363,141,438,1553,5450,4243,18540,1457,123,22175,850,1028,52,3245,4322,1568,643,464,10803,0,350,25225,1335,68,2212,124,55111,6,0,0,0,WASHINGTON,2017,902
1257,Under 18,10996,866,2274,19,81,323,443,411,1617,216,30,2764,8,17,1,165,798,215,4,140,1053,0,4,152,554,10,263,0,1699,0,9,198,6423244,WASHINGTON,2018,221
1258,Total all ages,171466,8384,25722,150,536,1767,5931,4292,19762,1504,164,24701,677,1130,55,3245,4798,1824,211,550,11283,7,257,27632,1721,78,2460,120,56599,3,9,0,0,WASHINGTON,2018,1086
1259,Over 18,160470,7518,23448,131,455,1444,5488,3881,18145,1288,134,21937,669,1113,54,3080,4000,1609,207,410,10230,7,253,27480,1167,68,2197,120,54900,3,0,0,0,WASHINGTON,2018,865
1260,Under 18,10101,937,1905,15,84,411,427,388,1321,162,34,2882,5,20,2,131,755,228,3,88,852,0,4,139,510,11,168,2,1458,0,1,219,7114406,WASHINGTON,2019,172
1261,Total all ages,169836,8144,24058,125,542,1743,5734,3808,18867,1206,177,24675,664,1252,37,2912,4372,1822,328,493,11325,3,321,27638,1597,91,2412,167,57514,10,1,0,0,WASHINGTON,2019,1035
1262,Over 18,159735,7207,22153,110,458,1332,5307,3420,17546,1044,143,21793,659,1232,35,2781,3617,1594,325,405,10473,3,317,27499,1087,80,2244,165,56056,10,0,0,0,WASHINGTON,2019,863
1263,Under 18,6741,703,1381,10,60,299,334,366,835,153,27,1803,4,22,0,88,659,128,0,64,342,0,2,176,329,9,118,1,903,1,8,234,7554132,WASHINGTON,2020,124
1264,Total all ages,143840,8445,21982,186,521,1716,6022,4540,15816,1390,236,23689,467,913,23,3051,4904,1697,210,476,8173,1,242,22125,994,68,1867,167,44320,18,8,0,0,WASHINGTON,2020,997
1265,Over 18,137099,7742,20601,176,461,1417,5688,4174,14981,1237,209,21886,463,891,23,2963,4245,1569,210,412,7831,1,240,21949,665,59,1749,166,43417,17,0,0,0,WASHINGTON,2020,873
1266,Under 18,4186,537,628,11,71,146,309,182,350,80,16,1506,0,7,0,55,375,123,0,54,94,0,4,118,100,0,54,0,528,0,3,211,7459711,WASHINGTON,2021,125
1267,Total all ages,117132,7935,16892,165,463,1429,5878,4208,11299,1124,261,21887,287,634,16,2839,4407,1438,133,409,1921,2,127,20399,439,0,1432,148,35784,0,3,0,0,WASHINGTON,2021,872
1268,Over 18,112946,7398,16264,154,392,1283,5569,4026,10949,1044,245,20381,287,627,16,2784,4032,1315,133,355,1827,2,123,20281,339,0,1378,148,35256,0,0,0,0,WASHINGTON,2021,747
1269,Under 18,369,36,40,0,0,27,9,0,39,1,0,53,0,0,0,3,10,26,0,0,20,0,0,0,5,0,20,0,155,0,1,1,0,WASHINGTON DC,2013,0
1270,Total all ages,6154,108,99,0,0,77,31,0,94,5,0,235,10,2,1,8,28,67,3,0,323,0,0,10,860,66,57,33,4243,0,1,0,0,WASHINGTON DC,2013,0
1271,Over 18,5785,72,59,0,0,50,22,0,55,4,0,182,10,2,1,5,18,41,3,0,303,0,0,10,855,66,37,33,4088,0,0,0,0,WASHINGTON DC,2013,0
1272,Under 18,332,43,25,0,0,34,9,0,22,3,0,31,3,1,0,4,6,31,0,0,23,0,0,0,4,0,15,0,144,0,2,1,0,WASHINGTON DC,2014,0
1273,Total all ages,5709,110,128,0,1,64,45,0,119,8,1,202,12,3,0,14,38,92,0,0,389,0,0,10,532,64,76,92,3945,0,2,0,0,WASHINGTON DC,2014,1
1274,Over 18,5377,67,103,0,1,30,36,0,97,5,1,171,9,2,0,10,32,61,0,0,366,0,0,10,528,64,61,92,3801,0,0,0,0,WASHINGTON DC,2014,1
1275,Under 18,417,67,43,0,0,50,17,0,42,1,0,50,0,0,0,6,10,22,0,0,13,0,0,0,1,0,20,0,185,0,0,1,0,WASHINGTON DC,2015,0
1276,Total all ages,7218,124,94,0,0,87,37,0,88,6,0,273,1,0,4,13,31,67,0,0,232,0,0,8,741,67,111,79,5373,0,0,0,0,WASHINGTON DC,2015,0
1277,Over 18,6801,57,51,0,0,37,20,0,46,5,0,223,1,0,4,7,21,45,0,0,219,0,0,8,740,67,91,79,5188,0,0,0,0,WASHINGTON DC,2015,0
1278,Under 18,671,83,47,0,0,58,25,0,44,3,0,75,0,0,0,14,20,35,0,0,19,0,0,0,0,0,39,0,338,0,1,2,0,WASHINGTON DC,2016,0
1279,Total all ages,10271,161,132,1,2,94,64,0,122,10,0,360,1,9,0,22,43,83,0,5,328,0,2,11,1024,89,172,30,7798,0,1,0,0,WASHINGTON DC,2016,7
1280,Over 18,9600,78,85,1,2,36,39,0,78,7,0,285,1,9,0,8,23,48,0,5,309,0,2,11,1024,89,133,30,7460,0,0,0,0,WASHINGTON DC,2016,7
1281,Under 18,594,80,39,0,0,60,20,0,39,0,0,79,1,2,0,9,12,15,0,0,17,0,0,0,2,0,32,0,306,0,0,2,0,WASHINGTON DC,2017,0
1282,Total all ages,17986,133,101,0,0,84,49,1,95,5,0,333,2,8,0,21,54,47,0,13,237,0,4,22,1174,72,284,10,15471,0,0,0,0,WASHINGTON DC,2017,13
1283,Over 18,17392,53,62,0,0,24,29,1,56,5,0,254,1,6,0,12,42,32,0,13,220,0,4,22,1172,72,252,10,15165,0,0,0,0,WASHINGTON DC,2017,13
1284,Under 18,505,92,34,0,0,64,28,0,32,2,0,111,0,1,0,5,12,13,0,2,10,0,0,0,1,0,53,0,171,0,0,2,0,WASHINGTON DC,2018,2
1285,Total all ages,13682,185,86,0,2,113,70,0,76,9,1,411,3,3,0,14,35,42,0,20,290,0,2,9,817,49,300,13,11403,0,0,0,0,WASHINGTON DC,2018,22
1286,Over 18,13177,93,52,0,2,49,42,0,44,7,1,300,3,2,0,9,23,29,0,18,280,0,2,9,816,49,247,13,11232,0,0,0,0,WASHINGTON DC,2018,20
1287,Under 18,807,188,65,0,0,167,21,0,65,0,0,165,0,0,0,26,9,18,0,2,10,0,0,0,0,0,73,0,251,0,0,2,0,WASHINGTON DC,2019,2
1288,Total all ages,12963,296,128,0,2,221,73,0,127,1,0,622,2,2,0,41,46,62,0,22,799,0,1,7,1385,49,409,4,9088,0,0,0,0,WASHINGTON DC,2019,24
1289,Over 18,12156,108,63,0,2,54,52,0,62,1,0,457,2,2,0,15,37,44,0,20,789,0,1,7,1385,49,336,4,8837,0,0,0,0,WASHINGTON DC,2019,22
1290,Under 18,263,64,28,0,0,57,7,0,25,3,0,59,0,0,0,6,1,6,0,0,1,0,0,0,0,0,14,0,84,0,0,2,0,WASHINGTON DC,2020,0
1291,Total all ages,4093,205,85,2,3,121,79,1,73,11,0,373,0,2,0,19,48,43,0,30,274,0,1,1,608,14,216,1,2173,0,0,0,0,WASHINGTON DC,2020,33
1292,Over 18,3830,141,57,2,3,64,72,1,48,8,0,314,0,2,0,13,47,37,0,30,273,0,1,1,608,14,202,1,2089,0,0,0,0,WASHINGTON DC,2020,33
1293,Under 18,148,45,11,0,0,35,10,0,8,3,0,36,0,0,0,1,4,17,0,0,2,0,0,0,0,0,7,0,25,0,0,1,0,WASHINGTON DC,2021,0
1294,Total all ages,2002,209,80,1,0,107,101,1,69,9,1,441,1,1,0,14,73,60,0,30,103,0,3,5,233,0,203,0,546,0,0,0,0,WASHINGTON DC,2021,30
1295,Over 18,1854,164,69,1,0,72,91,1,61,6,1,405,1,1,0,13,69,43,0,30,101,0,3,5,233,0,196,0,521,0,0,0,0,WASHINGTON DC,2021,30
1296,Under 18,1463,54,346,2,5,6,41,41,296,6,3,211,0,10,1,6,60,18,1,14,162,0,0,21,99,6,26,0,392,0,36,252,1587813,WEST VIRGINIA,2013,19
1297,Total all ages,49225,1834,6900,29,58,171,1576,878,5816,174,32,5502,319,704,145,357,721,354,117,154,6651,5,83,5960,1758,2440,885,11,14289,0,36,0,0,WEST VIRGINIA,2013,212
1298,Over 18,47762,1780,6554,27,53,165,1535,837,5520,168,29,5291,319,694,144,351,661,336,116,140,6489,5,83,5939,1659,2434,859,11,13897,0,0,0,0,WEST VIRGINIA,2013,193
1299,Under 18,1247,58,272,2,1,13,42,41,214,16,1,196,3,5,2,8,42,27,0,14,127,0,0,14,96,3,18,0,357,0,5,243,1379958,WEST VIRGINIA,2014,15
1300,Total all ages,43394,1870,7115,42,86,154,1588,705,6189,196,25,5068,296,571,150,284,649,314,76,126,5994,2,78,4723,1221,1315,634,25,12878,0,5,0,0,WEST VIRGINIA,2014,212
1301,Over 18,42147,1812,6843,40,85,141,1546,664,5975,180,24,4872,293,566,148,276,607,287,76,112,5867,2,78,4709,1125,1312,616,25,12521,0,0,0,0,WEST VIRGINIA,2014,197
1302,Under 18,1178,55,202,0,11,9,35,48,133,17,4,229,2,3,1,13,85,18,0,12,130,0,0,17,44,2,11,0,340,0,14,192,1071996,WEST VIRGINIA,2015,23
1303,Total all ages,40568,1743,6480,35,77,144,1487,685,5563,197,35,4890,309,583,138,314,746,378,64,116,6187,1,91,4543,940,1043,654,23,11311,0,14,0,0,WEST VIRGINIA,2015,193
1304,Over 18,39390,1688,6278,35,66,135,1452,637,5430,180,31,4661,307,580,137,301,661,360,64,104,6057,1,91,4526,896,1041,643,23,10971,0,0,0,0,WEST VIRGINIA,2015,170
1305,Under 18,1050,48,152,2,5,6,35,24,110,13,5,249,1,3,1,5,40,24,0,12,110,0,2,11,52,3,27,0,303,0,7,291,1251283,WEST VIRGINIA,2016,17
1306,Total all ages,39742,1905,5826,41,101,157,1606,771,4777,238,40,4684,332,511,105,283,612,448,73,104,6267,2,139,4427,591,673,608,31,12114,0,7,0,0,WEST VIRGINIA,2016,205
1307,Over 18,38692,1857,5674,39,96,151,1571,747,4667,225,35,4435,331,508,104,278,572,424,73,92,6157,2,137,4416,539,670,581,31,11811,0,0,0,0,WEST VIRGINIA,2016,188
1308,Under 18,1033,57,162,0,9,6,42,34,104,13,11,215,3,3,3,8,44,14,0,5,120,0,1,16,24,2,30,0,317,0,9,178,1150294,WEST VIRGINIA,2017,14
1309,Total all ages,39296,1832,5077,31,103,123,1575,751,4018,272,36,4320,258,486,116,410,634,342,109,88,7277,0,149,4282,890,822,751,27,11417,0,9,0,0,WEST VIRGINIA,2017,191
1310,Over 18,38263,1775,4915,31,94,117,1533,717,3914,259,25,4105,255,483,113,402,590,328,109,83,7157,0,148,4266,866,820,721,27,11100,0,0,0,0,WEST VIRGINIA,2017,177
1311,Under 18,496,38,55,1,2,3,32,9,44,2,0,121,0,1,1,2,22,9,0,6,67,0,0,6,13,7,15,0,124,0,9,131,1052107,WEST VIRGINIA,2018,8
1312,Total all ages,29202,1173,3757,28,55,56,1034,440,3112,181,24,2825,214,265,41,263,468,281,60,63,6044,2,86,3141,555,727,689,8,8531,0,9,0,0,WEST VIRGINIA,2018,118
1313,Over 18,28706,1135,3702,27,53,53,1002,431,3068,179,24,2704,214,264,40,261,446,272,60,57,5977,2,86,3135,542,720,674,8,8407,0,0,0,0,WEST VIRGINIA,2018,110
1314,Under 18,292,22,29,0,3,3,16,7,19,3,0,92,2,0,0,2,18,2,0,1,53,0,1,4,3,2,8,0,48,0,5,103,953873,WEST VIRGINIA,2019,4
1315,Total all ages,16932,932,1896,24,46,41,821,340,1390,151,15,2343,126,191,28,179,282,196,3,32,3683,0,100,2382,334,187,378,15,3640,0,5,0,0,WEST VIRGINIA,2019,78
1316,Over 18,16640,910,1867,24,43,38,805,333,1371,148,15,2251,124,191,28,177,264,194,3,31,3630,0,99,2378,331,185,370,15,3592,0,0,0,0,WEST VIRGINIA,2019,74
1317,Under 18,384,26,41,1,8,1,16,13,20,8,0,126,0,1,0,4,28,6,0,7,51,0,0,4,9,0,12,0,68,0,1,131,1177351,WEST VIRGINIA,2020,15
1318,Total all ages,26652,1294,3491,45,91,82,1076,563,2696,201,31,3489,160,209,18,299,432,407,17,49,6015,0,95,2425,208,301,452,7,7283,0,1,0,0,WEST VIRGINIA,2020,140
1319,Over 18,26268,1268,3450,44,83,81,1060,550,2676,193,31,3363,160,208,18,295,404,401,17,42,5964,0,95,2421,199,301,440,7,7215,0,0,0,0,WEST VIRGINIA,2020,125
1320,Under 18,438,31,35,2,3,2,24,5,21,7,2,153,0,0,1,2,19,6,0,3,57,0,0,6,7,0,15,0,103,0,0,122,1210067,WEST VIRGINIA,2021,6
1321,Total all ages,26845,1196,3109,32,77,41,1046,526,2362,176,45,3156,107,156,13,321,357,315,40,54,5943,0,143,2213,186,0,545,17,8974,0,0,0,0,WEST VIRGINIA,2021,131
1322,Over 18,26407,1165,3074,30,74,39,1022,521,2341,169,43,3003,107,156,12,319,338,309,40,51,5886,0,143,2207,179,0,530,17,8871,0,0,0,0,WEST VIRGINIA,2021,125
1323,Under 18,55187,1344,8546,6,167,528,643,975,7164,325,82,2930,26,173,14,427,1846,726,23,885,3495,20,127,295,4164,0,10344,57,16211,0,3534,382,5621676,WISCONSIN,2013,1052
1324,Total all ages,305446,8002,36871,146,619,1687,5550,3816,31782,1064,209,17569,1006,3789,259,1503,7115,3708,495,2371,25582,93,2445,26562,20590,3,43614,2080,98255,0,3534,0,0,WISCONSIN,2013,2990
1325,Over 18,250259,6658,28325,140,452,1159,4907,2841,24618,739,127,14639,980,3616,245,1076,5269,2982,472,1486,22087,73,2318,26267,16426,3,33270,2023,82044,0,0,0,0,WISCONSIN,2013,1938
1326,Under 18,51778,1356,10004,19,158,532,647,921,8590,434,59,2814,44,134,29,596,2237,860,40,846,3206,23,139,355,3542,0,9346,40,13353,0,2814,384,5557794,WISCONSIN,2014,1004
1327,Total all ages,281399,7487,36709,171,677,1580,5059,3163,32264,1138,144,15969,985,3022,258,1508,7073,3955,662,2239,24854,100,2703,24330,17560,0,39032,1609,88530,0,2814,0,0,WISCONSIN,2014,2916
1328,Over 18,229621,6131,26705,152,519,1048,4412,2242,23674,704,85,13155,941,2888,229,912,4836,3095,622,1393,21648,77,2564,23975,14018,0,29686,1569,75177,0,0,0,0,WISCONSIN,2014,1912
1329,Under 18,43693,1146,6769,23,163,458,502,631,5624,461,53,2341,30,134,19,538,1839,719,16,709,2920,11,158,222,2580,0,8340,38,12931,0,2233,389,5502458,WISCONSIN,2015,872
1330,Total all ages,265628,7522,31519,180,690,1562,5090,2789,27432,1163,135,15481,967,2890,283,1581,6476,4022,402,2067,25302,53,2545,24588,14283,0,36191,1107,86115,1,2233,0,0,WISCONSIN,2015,2757
1331,Over 18,221935,6376,24750,157,527,1104,4588,2158,21808,702,82,13140,937,2756,264,1043,4637,3303,386,1358,22382,42,2387,24366,11703,0,27851,1069,73184,1,0,0,0,WISCONSIN,2015,1885
1332,Under 18,41813,1111,6135,7,149,434,521,655,4900,532,48,2570,22,116,31,605,1873,598,14,674,3154,8,105,235,2266,0,7876,61,12221,0,2138,409,5643675,WISCONSIN,2016,823
1333,Total all ages,261400,7556,31446,244,781,1570,4961,2771,27253,1293,129,15905,1047,2659,289,1566,6463,3661,437,1963,28025,44,2255,24795,12675,0,33316,825,84335,0,2138,0,0,WISCONSIN,2016,2744
